No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
175,AON,Aon plc,67.46B,314.49,1.46%,17.18B
176,TEL,TE Connectivity plc,66.15B,225.44,-1.32%,18.10B
177,TFC,Truist Financial Corporation,65.74B,52.07,-3.65%,18.43B
178,PCAR,PACCAR Inc,65.59B,124.84,-3.58%,28.44B
179,APD,Air Products and Chemicals Inc.,64.90B,291.50,-0.56%,12.21B
180,TRV,The Travelers Companies Inc.,64.69B,297.43,-0.54%,48.83B
181,HOOD,Robinhood Markets Inc.,64.10B,71.12,-8.79%,4.47B
182,EOG,EOG Resources Inc.,63.95B,117.85,-0.31%,22.65B
183,LHX,L3Harris Technologies Inc.,63.58B,339.90,-0.11%,21.87B
184,DLR,Digital Realty Trust Inc.,63.06B,180.31,3.29%,6.08B
185,ROST,Ross Stores Inc.,63.02B,194.85,1.20%,22.03B
186,PSX,Phillips 66,62.96B,156.26,-3.24%,132.38B
187,AZO,AutoZone Inc.,62.77B,3788.71,1.41%,19.29B
188,FTNT,Fortinet Inc.,62.66B,84.26,-4.05%,6.80B
189,NXPI,NXP Semiconductors N.V.,60.95B,242.19,-3.03%,12.27B
190,BKR,Baker Hughes Company,60.67B,61.39,0.23%,27.73B
191,SRE,Sempra,60.56B,92.79,1.77%,13.71B
192,AFL,Aflac Incorporated,60.11B,115.88,-0.32%,17.16B
193,VLO,Valero Energy Corporation,60.06B,196.91,-3.44%,122.69B
194,O,Realty Income Corporation,59.77B,64.78,0.43%,5.61B
195,MPC,Marathon Petroleum Corporation,58.42B,198.02,-5.09%,133.43B
196,MPWR,Monolithic Power Systems Inc.,56.30B,1155.93,-3.41%,2.79B
197,F,Ford Motor Company,55.85B,14.00,1.08%,187.27B
198,D,Dominion Energy Inc.,55.61B,65.12,0.73%,15.81B
199,ZTS,Zoetis Inc.,55.37B,125.64,-2.35%,9.47B
200,VST,Vistra Corp.,55.26B,163.10,1.84%,17.19B
201,URI,United Rentals Inc.,54.77B,869.46,-0.50%,16.10B
202,CARR,Carrier Global Corporation,54.24B,64.89,-3.26%,21.75B
203,ALL,The Allstate Corporation,53.73B,206.56,0.89%,67.69B
204,OKE,ONEOK Inc.,53.23B,84.60,-0.35%,31.56B
205,GWW,W.W. Grainger Inc.,53.09B,1116.60,-7.14%,17.94B
206,AME,AMETEK Inc.,52.65B,228.69,-2.81%,7.40B
207,AJG,Arthur J. Gallagher & Co.,52.63B,204.79,-0.25%,13.01B
208,FAST,Fastenal Company,52.29B,45.54,-3.15%,8.20B
209,PSA,Public Storage,51.44B,292.37,-0.50%,4.80B
210,TGT,Target Corporation,51.03B,112.69,-1.68%,105.24B
211,MET,MetLife Inc.,50.69B,77.36,-1.94%,77.08B
212,BDX,Becton Dickinson and Company,50.63B,177.81,-1.56%,21.92B
213,CAH,Cardinal Health Inc.,50.61B,215.06,-4.10%,244.67B
214,EA,Electronic Arts Inc.,50.17B,200.46,-0.88%,7.31B
215,CTVA,Corteva Inc.,49.81B,74.11,-1.61%,17.40B
216,IDXX,IDEXX Laboratories Inc.,49.28B,617.20,-4.86%,4.30B
217,TER,Teradyne Inc.,48.71B,311.03,-3.24%,3.19B
218,EXC,Exelon Corporation,48.04B,47.55,6.97%,24.26B
219,FANG,Diamondback Energy Inc.,47.95B,167.42,-0.94%,14.63B
220,DHI,D.R. Horton Inc.,47.68B,164.59,0.45%,33.52B
221,ADSK,Autodesk Inc.,47.29B,223.49,-3.91%,6.89B
222,TRGP,Targa Resources Corp.,46.85B,218.26,-1.64%,17.38B
223,XEL,Xcel Energy Inc.,46.72B,78.98,1.36%,14.67B
224,CMG,Chipotle Mexican Grill Inc.,46.68B,35.84,-3.71%,11.93B
225,ETR,Entergy Corporation,46.12B,101.96,1.76%,12.73B
226,HSY,The Hershey Company,45.88B,226.26,-1.99%,11.69B
227,FIX,Comfort Systems USA Inc.,45.75B,1300.02,-2.89%,8.32B
228,YUM,Yum! Brands Inc.,45.23B,163.28,2.65%,8.21B
229,DAL,Delta Air Lines Inc.,45.15B,69.50,-2.69%,63.36B
230,NDAQ,Nasdaq Inc.,45.11B,79.01,-1.75%,8.22B
231,CCL,Carnival Corporation & plc,45.06B,32.60,-1.48%,26.62B
232,OXY,Occidental Petroleum Corporation,44.82B,45.49,-3.70%,26.60B
233,DDOG,Datadog Inc.,44.47B,126.13,-0.94%,3.43B
234,KR,The Kroger Co.,44.39B,70.14,2.16%,147.23B
235,EW,Edwards Lifesciences Corporation,44.36B,76.44,-3.64%,6.07B
236,ARES,Ares Management Corporation,43.78B,133.94,-2.50%,5.60B
237,WAB,Westinghouse Air Brake Technologies Corporation,43.39B,253.79,-0.25%,11.17B
238,NUE,Nucor Corporation,43.21B,188.81,-2.89%,32.49B
239,SYY,Sysco Corporation,43.06B,89.91,2.12%,82.65B
240,ROK,Rockwell Automation Inc.,42.92B,382.00,-6.09%,8.57B
241,MCHP,Microchip Technology Incorporated,42.71B,78.92,-2.27%,4.37B
242,AMP,Ameriprise Financial Inc.,42.66B,467.30,-3.84%,18.51B
243,VMC,Vulcan Materials Company,42.54B,321.92,0.67%,7.88B
244,AIG,American International Group Inc.,42.41B,78.80,0.46%,26.64B
245,PEG,Public Service Enterprise Group Incorporated,42.20B,84.54,0.46%,11.72B
246,VTR,Ventas Inc.,40.76B,85.20,-0.57%,5.82B
247,KDP,Keurig Dr Pepper Inc.,40.64B,29.91,0.07%,16.17B
248,ED,Consolidated Edison Inc.,40.32B,111.72,1.68%,16.59B
249,CBRE,CBRE Group Inc.,39.95B,136.28,-8.84%,40.55B
250,MLM,Martin Marietta Materials Inc.,39.81B,660.07,-0.24%,6.15B
251,KEYS,Keysight Technologies Inc.,39.36B,229.48,-3.59%,5.38B
252,HIG,The Hartford Insurance Group Inc.,39.29B,141.89,-0.09%,28.37B
253,GRMN,Garmin Ltd.,39.09B,203.22,-1.63%,6.94B
254,TKO,TKO Group Holdings Inc.,39.01B,199.99,-4.94%,2.55B
255,ODFL,Old Dominion Freight Line Inc.,38.79B,185.51,-4.60%,5.50B
